"","GSE44331_VSV_vs_Control"
"100383",0.00383365694236646
"100415785",0.00957420132845558
"100415901",0.0101130999491209
"100416145",0.00600105928274393
"100416706",0.0149307087612312
"100416830",0.00699009554619266
"100417514",0.00410929436045301
"100417675",0.0108976163116454
"100434",0.00490769532665137
"100463519",0.00430838265879656
"100465",0.00667164463308355
"100470",0.00454349460472613
"100473",0.0080593893313296
"100494",0.00455591335485219
"100502590",0.0125277972084397
"100502602",0.00518862316859874
"100502619",0.0151820972259723
"100502624",0.0102434885952842
"100502679",0.0103044712034216
"100502694",0.0126608535281969
"100502695",0.0109171678385991
"100502698",0.00270020601245453
"100502700",0.00829854693702552
"100502723",0.00520514037337545
"100502736",0.0113141175194619
"100502739",0.0159999006238719
"100502742",0.0132500496720025
"100502745",0.0131856410877119
"100502820",0.0084791152466869
"100502829",0.00969302811210166
"100502834",0.0104299645187491
"100502841",0.00567094374832609
"100502861",0.00972649605559248
"100502888",0.00647311615096722
"100502917",0.00846655574845679
"100502923",0.0139751135349531
"100502931",0.00858456862517729
"100502933",0.0143597881186771
"100502936",0.0067183118059309
"100502942",0.00695290038819033
"100502950",0.0081714944591499
"100502982",0.0268686930443204
"100503007",0.0252803496974335
"100503019",0.00504316646101985
"100503043",0.00307330350867978
"100503044",0.0127040802383306
"100503120",0.0104583299304132
"100503142",0.00492122781531768
"100503166",0.00569338842975207
"100503167",0.00655835578904875
"100503178",0.00598744096957286
"100503185",0.00791574047382989
"100503197",0.00707389726611632
"100503199",0.00555241768456506
"100503265",0.00674328639226735
"100503289",0.00621508288105509
"100503307",0.00985348183391004
"100503311",0.00568361086966332
"100503337",0.00849799106884494
"100503359",0.00829525537107243
"100503380",0.00283719755338271
"100503386",0.00322771416817645
"100503392",0.0041821682044761
"100503447",0.00893739848880728
"100503470",0.00660145472657265
"100503471",0.0134637328724966
"100503474",0.0149414336458047
"100503481",0.00862641691093733
"100503490",0.00658690417057897
"100503495",0.00672590342288684
"100503518",0.00451869282451736
"100503538",0.00403888066977293
"100503546",0.0104292135067065
"100503572",0.0043577297466624
"100503582",0.00653579844066434
"100503594",0.0106528360296753
"100503622",0.0110749841139672
"100503652",0.0154508397379591
"100503659",0.0067882660342259
"100503661",0.0163134474941979
"100503670",0.00384824030399893
"100503676",0.00720688863956014
"100503727",0.00990654256865337
"100503759",0.00784214004113179
"100503783",0.0122012118043388
"100503797",0.00678255570417649
"100503802",0.00534305563644067
"100503812",0.0103906005713209
"100503827",0.0101758611882389
"100503842",0.00670638379120963
"100503849",0.0112941647088912
"100503859",0.00451154691293194
"100503868",0.00840323397321333
"100503869",0.00499893188476563
"100503882",0.0055472615465117
"100503884",0.00501797155137105
"100503890",0.00407153565413926
"100503895",0.0143628307317808
"100503915",0.0121573418947536
"100503924",0.00813144610437283
"100503961",0.00982915820378557
"100503969",0.00773420024408384
"100504029",0.00936235425240055
"100504061",0.0077782423212069
"100504116",0.00462948043214486
"100504121",0.0147225593233085
"100504141",0.0048299816639585
"100504145",0.00659060535400529
"100504154",0.00667398900357932
"100504156",0.012914843250667
"100504162",0.0195969137503492
"100504164",0.00834067809989334
"100504166",0.00393811594549763
"100504221",0.0084167999326656
"100504229",0.00611153259855323
"100504231",0.00545692675129569
