"","GSE91074_VEEV_vs_Control"
"108699",-0.7174
"108705",0.2804
"108707",-0.0985
"108735",0.2097
"108737",-0.2161
"108755",-0.08535
"108760",-0.2458
"108767",-0.1226
"108829",-0.019
"108837",-0.0356
"108841",-0.4427
"108857",-0.1093
"108888",-0.217375
"108897",-0.3376
"108902",-0.6411
"108903",0.04625
"108907",0.2953
"108909",1.53255
"108911",0.03875
"108943",-0.2207
"108946",-0.1123
"108954",0.3669
"108958",-0.220166666666667
"108961",0.093
"108989",0.084575
"109006",-0.0629
"109019",0.361933333333333
"109032",0.336233333333333
"109042",0.3936
"109052",-0.053
"109075",0.00793333333333333
"109077",0.0504666666666667
"109079",-0.3187
"109093",-0.1652
"109095",-0.3837
"109108",-0.4069
"109129",-0.0098
"109135",-0.0926
"109136",-0.3736
"109145",-0.0761
"109154",-0.2493
"109168",0.1343
"109205",-0.4688
"109212",-0.1706
"109225",2.4964
"109229",-0.17315
"109232",0.0038
"109246",-0.3353
"109254",-0.0339
"109263",-0.1043
"109270",-0.169
"109299",-0.1951
"109305",0.26455
"109331",-0.0893
"109552",-0.02565
"109594",0.0457
"109620",-0.789866666666667
"109624",-0.121666666666667
"109637",-0.1872
"109648",0.2967
"109652",-0.228
"109660",0.2335
"109672",-0.1804
"109674",-0.35955
"109685",-0.1219
"109689",-0.4934
"109697",-0.041
"109711",0.1318
"109754",0.1252
"109778",-0.0417
"109791",-0.09335
"109801",-0.266833333333333
"109815",0.172866666666667
"109820",-0.0993
"109821",0.0056
"109857",-0.1135
"109880",-0.0136
"109889",-0.1528
"109900",-0.1733
"109901",0.5813
"109904",-0.8391
"109905",-0.0154
"109910",-0.1485
"109929",-0.1033
"109934",-0.087
"109978",-0.0057
"109979",0.3118
"110006",0.2655
"110012",-0.0317
"110033",-0.0441
"110052",0.5818
"110058",-0.25975
"110074",-0.4359
"110078",-0.2377
"110082",-0.0406
"110084",-0.0715
"110094",0.1097
"110095",0.2523
"110109",0.1176
"110119",-0.1473
"110135",0.1461
"110147",-0.3377
"110157",0.0719
"110172",0.1982
"110173",-0.3609
"110175",0.1278
"110196",0.1318
"110197",-0.2634
"110198",-0.23865
"110208",0.883466666666667
"110213",0.484
"110253",0.6119
"110265",-0.179
"110279",0.03765
"110304",0.0336
"110308",-0.0636
"110310",-0.0656
"110323",-0.13825
"110326",-0.1507
"110351",-0.3483
"110355",-0.12305
"110379",0.2608
"110382",-0.1027
"110391",-0.57445
"110417",-0.0097
"110446",-0.0678333333333333
"110454",3.49
"110460",-0.2884
"110521",-0.2818
"110524",-0.2194
"110532",-0.3916
"110542",-0.0923
"110595",-0.412166666666667
"110596",-0.2608
"110606",-0.1523
"110611",0.2606
"110639",-0.12
"110648",-0.1093
"110651",0.0934
"110695",-0.1502
"110749",0.0721
"110750",-0.1705
"110751",-0.1532
"110789",-0.2725
