"","GSE91074_VEEV_vs_Control"
"113847",-1.515
"113848",-2.0143
"113851",-3.9701
"113852",-1.3585
"113853",-3.2659
"113854",-4.3498
"113855",1.3862
"113856",-2.2298
"113857",-0.5795
"113859",-3.7213
"113860",-0.0243
"113862",0.4268
"113863",-0.8479
"113864",-2.0957
"113865",0.5025
"113868",3.0396
"11409",-3.6174
"114128",-3.82563333333333
"114141",-2.7367
"114142",-3.9499
"114143",-0.8309
"11416",-1.5023
"11418",-5.8916
"11421",-1.8019
"114229",-2.7454
"11423",1.2964
"114230",-1.19305
"114249",-2.06014
"114255",-6.1035
"11426",-4.1
"11428",-5.66445
"11429",-4.8539
"11430",-3.1895
"114301",-0.3738
"114304",-1.9992
"11431",-2.32846
"11432",3.7233
"11433",6.4335
"114332",-4.89605
"11434",-2.4188
"11435",-0.1292
"11438",-1.45835
"11440",-2.19535
"11441",-1.0459
"11443",3.5006
"11444",-1.9797
"11447",-3.2981
"114479",-0.8778
"11448",0.2589
"11449",-1.0839
"11450",1.1865
"11451",0.0844
"114565",1.8273
"114566",0.0032
"114570",-4.2833
"114584",15.5674
"11459",-0.8802
"114601",-1.6352
"114602",-6.5801
"114606",-6.7527
"114615",-2.61825
"11464",-1.7117
"114640",-4.3422
"114641",-1.1009
"114642",0.0507
"114643",12.6533
"114644",1.3382
"114654",-1.2791
"114660",2.2248
"114661",-0.8659
"114662",-1.2954
"114663",-2.7198
"114664",-6.0406
"114673",-1.5028
"114674",-4.0522
"114679",1.3878
"11468",0.3623
"11470",-2.7166
"11471",-4.3065
"114712",-0.0193
"114713",1.4902
"114714",-3.99085
"114715",2.279
"114716",-2.0679
"11472",-2.0724
"11474",-3.7244
"114741",-0.1389
"11475",-3.0981
"11477",1.28875
"11479",-5.2016
"11480",-5.21615
"11481",-9.9504
"11482",7.6246
"11484",-3.6196
"11486",6.6668
"114863",-0.9561
"11487",-1.10536666666667
"114873",-4.1156
"114874",-1.2591
"114875",-0.92545
"11488",-5.6923
"114886",-4.2069
"114889",-1.386
"11489",0.0965
"114893",-3.18942
"114896",0.74465
"11490",-2.169225
"11491",3.80983333333333
"11492",-2.845
"11495",-1.4173
"11496",-4.4402
"11497",-0.9222
"11499",-0.5478
"11500",-1.8298
"11501",7.6096
"11502",5.8968
"11504",20.1869
"11512",-7.0464
"11513",1.9429
"11514",-5.0915
"11515",-4.8336
"11516",0.351
"11517",-0.8495
"11518",-4.52403333333333
"11519",-2.31996666666667
"11520",13.558
"11522",-1.7723
"11529",-0.8201
"11532",-4.5929
"11534",-6.80965
"11535",10.5023
