"","GSE51365_MVH68_WT_vs_Control","GSE51365_MVH68_M_vs_Control"
"100039359",0.0111637997791638,0.0111580159929064
"100039495",0.0188620162463851,0.0191786431005333
"100039596",0.00381004502699113,0.00380985565181021
"100039641",0.0159221407318214,0.0157588323654029
"100039684",0.0203063578403127,0.0204081632653061
"100039691",0.00456589096224269,0.00456776528966697
"100039706",0.0113859295079679,0.01129158280194
"100039781",0.0257723408173369,0.0257848046630923
"100039795",0.0252006164317429,0.0252243118543405
"100039864",0.00287512784048494,0.00286946870323555
"100039968",0.0268887344180219,0.0269216563987743
"100040049",0.0171785259579644,0.0171671436701757
"100040151",0.00659511540938881,0.00655713700804938
"100040201",0.011919479776407,0.0119924590354542
"100040214",0.00588256667891559,0.00588091384696451
"100040248",0.00388078992048127,0.00387995311976237
"100040249",0.00239589705430835,0.00239754133968678
"100040268",0.0205301848964135,0.0208116097823166
"100040294",0.00426751763580851,0.00426094059126455
"100040322",0.0353568558696764,0.0346370307389371
"100040421",0.00834224556069067,0.00836864005998822
"100040447",0.00160607642463016,0.00160768203750475
"100040462",0.088240433476339,0.0880614743768119
"100040529",0.0209707123221686,0.0210360701590816
"100040591",0.0188389081122645,0.0187068909427632
"100040608",0.00798833393068528,0.00800096485126371
"100040724",0.0933980448476169,0.0933505060594337
"100040766",0.0182952945686718,0.0182890477720078
"100040769",0.0107488795299472,0.0107278471191589
"100040792",0.0233764053323207,0.0233755454440628
"100040822",0.0107793648400214,0.0107731169450195
"100040834",0.0248143692209587,0.0248159153146692
"100040882",0.00254487212340112,0.00251897526400367
"100040972",0.03274579197959,0.0327702179486353
"100041194",0.0488566183396136,0.0488765839349766
"100041241",0.0189022288501239,0.0189072352521592
"100041290",0.00960650875256283,0.00959264165356379
"100041347",0.00285725989177902,0.00285906479424297
"100041581",0.0105882887937597,0.0105832039084674
"100041660",0.00384010824517151,0.0038456105582729
"100041979",0.00412087787775163,0.00412057120675701
"100042132",0.0363452518483838,0.036359198123471
"100042150",0.0148949266158215,0.0149272647474677
"100042165",0.0144169548710174,0.0143561179699579
