"","GSE51365_MVH68_WT_vs_Control","GSE51365_MVH68_M_vs_Control"
"100039095",0.062793265249793,0.0627604166666667
"100039186",0.0636812714776632,0.063685539127299
"100039210",0.187878787878788,0.188167625308135
"100039239",0.148188094264189,0.148238137001046
"100039332",0.0680282674535994,0.0680367978077902
"100039359",0.105658884052236,0.105631510416667
"100039495",0.137339055793991,0.13848697809012
"100039596",0.0617255621844883,0.061724028156061
"100039641",0.126182965299685,0.125534188034188
"100039684",0.14250037838656,0.142857142857143
"100039691",0.067571376797004,0.0675852446149821
"100039706",0.106704871060172,0.106261859582543
"100039781",0.160537661678925,0.160576476057648
"100039795",0.158747020229493,0.158821635347142
"100039864",0.053620218579235,0.0535674220327575
"100039968",0.163977847339273,0.164078202082953
"100040049",0.131066875899155,0.131023447024476
"100040151",0.0812103159049933,0.0809761508596783
"100040201",0.109176370045935,0.109510086455331
"100040214",0.0766978922716628,0.0766871165644172
"100040248",0.0622959863914303,0.0622892697000243
"100040249",0.0489479014290537,0.0489646948288946
"100040268",0.143283582089552,0.144262295081967
"100040294",0.0653262400250352,0.065275880624198
"100040322",0.188034188034188,0.186110265001523
"100040421",0.0913358941527956,0.0914802714249812
"100040447",0.0400758833293811,0.0400959104835487
"100040462",0.297052913596785,0.29675153643547
"100040529",0.144812680115274,0.145038167938931
"100040591",0.137254901960784,0.136773136773137
"100040608",0.089377479997398,0.0894481126199078
"100040724",0.30561093705497,0.305533150508147
"100040766",0.135260099691934,0.135237005926661
"100040769",0.103676803239429,0.103575320994718
"100040792",0.152893444373265,0.152890632296628
"100040822",0.103823720025924,0.103793626707132
"100040834",0.157525773195876,0.15753068055039
"100040882",0.0504467255964262,0.0501893939393939
"100040972",0.180957984017257,0.181025462155563
"100041194",0.221035332785538,0.22108049198194
"100041241",0.137485376859228,0.137503582688449
"100041290",0.098012798922196,0.097942032108609
"100041347",0.0534533431300514,0.0534702234355064
"100041581",0.102899411046709,0.102874700040716
"100041660",0.0619686069326357,0.062012987012987
"100041979",0.0641940641940642,0.0641916755253905
"100042132",0.190644307149162,0.190680880330124
"100042150",0.122044772996722,0.122177185871453
"100042165",0.120070624513315,0.119817018699173
"100042173",0.0997611611243799,0.0998093234269183
"100042178",0.14307677524743,0.142918825561313
"100042194",0.188104360518154,0.188090050835149
"100042198",0.112048192771084,0.11063829787234
"100042277",0.149786613927345,0.149754946451262
"100042332",0.139721880724817,0.13975361891155
"100042416",0.09131479574322,0.091155934833204
"100042480",0.156380985443122,0.15631096985099
"100042484",0.0727601898517395,0.072746180701711
"100042498",0.0740894901144641,0.0741668272009247
"100042605",0.0920245398773006,0.0921555015619576
"100042679",0.133234883911724,0.133254484525922
"100042757",0.0982362006963868,0.0983793005402332
"100042770",0.0916055962691539,0.0916030534351145
"100042784",0.133995302156737,0.133970228838036
"100042889",0.100230019556687,0.0987216015315356
"100042940",0.120159226613591,0.120119692220006
"100043040",0.0791827852998066,0.0789689034369885
"100043057",0.132230336715569,0.132196495619524
"100043072",0.180895569690852,0.180833368341419
"100043102",0.146749226006192,0.14675361497023
"100043132",0.0688883203274914,0.0689050862309316
"100043133",0.150485436893204,0.151592682614814
"100043189",0.0854073880010479,0.0854327509142625
"100043213",0.209994276073133,0.210238478231116
"100043232",0.110979052146784,0.111003471381287
"100043270",0.112046444121916,0.112026359143328
"100043272",0.0402222490638966,0.0402388821244274
"100043305",0.169067139375139,0.169132149901381
"100043315",0.0837890280472746,0.0838192419825073
"100043332",0.130899705014749,0.131062569418734
"100043335",0.114093959731544,0.114490161001789
"100043424",0.109344472567812,0.109665115267937
"100043468",0.091921345652689,0.0919778699861687
"100043489",0.11248654467169,0.112395929694727
"100043515",0.0931553792046172,0.0931551235317943
"100043597",0.238606149663043,0.238471884913488
"100043636",0.183015734466083,0.182997562861342
"100043766",0.201819857219594,0.201924881978533
"100043772",0.068353000251067,0.0683165203086823
"100043777",0.0970564836913286,0.0971702220287331
"100043812",0.112158243579122,0.111786148238153
"100043820",0.0972299477138725,0.0972190034762457
"100043902",0.085234899328859,0.0852597758796333
"100043911",0.108757056734372,0.108747273611687
"100044193",0.098419173890872,0.0983594332587621
"100044236",0.344769795103131,0.344673496946615
"100044509",0.108431809700244,0.107996445793149
"100045469",0.0810261316749387,0.0810502783500636
"100047123",0.0614171192138609,0.0614021451888699
"100048534",0.109832356161738,0.109766878614551
"100048658",0.137476459510358,0.137467219355385
"100048701",0.097007722007722,0.0971677188193141
"100049077",0.098795601326584,0.0988538681948424
"100049161",0.154411764705882,0.151113786875376
"100049166",0.179210229003739,0.179224320204532
"100049168",0.195147679324895,0.194945848375451
"100049789",0.0334131785148796,0.0333987156407018
"100061",0.144855609296062,0.144840769992041
"100066",0.110502640328574,0.110452067970503
"100072",0.0942628042496759,0.0942567482725643
"100073351",0.106113033448674,0.106089508437271
"100087",0.0470227446971633,0.0469536053661263
"100088",0.0799793067770305,0.0800039265730833
"100090",0.0980538922155689,0.0981217221612392
"100102",0.105006477177475,0.10501957992168
"100113398",0.143701514591799,0.143572621035058
"100121",0.0499821916181883,0.05
"100125594",0.0831311022066708,0.0831443688586546
"100126030",0.113036303630363,0.11324570273003
"100126226",0.103171774768354,0.103119411881582
"100126229",0.132727272727273,0.132778264680105
"100126242",0.11948236128346,0.119556913674561
"100126243",0.145731977001327,0.145627515550677
"100126244",0.105844845908608,0.108695652173913
"100126795",0.159585767392459,0.159647255587654
"100127111",0.153166267729997,0.153071402137376
"100127433",0.0955834945196647,0.0955258236225004
"100129",0.1495246326707,0.149499633878448
"100134986",0.119745845552297,0.119708994708995
"100137011",0.135723166183174,0.1357345532457
"100141474",0.0868995224271936,0.0872323552735924
"100163",0.068645427458171,0.0687376074025116
"100165",0.0909090909090909,0.101459136614501
"100169",0.119444444444444,0.119210232211598
"100169874",0.131437989287186,0.131569474442045
