"","GSE51365_MVH68_WT_vs_Control","GSE51365_MVH68_M_vs_Control"
"100678",0.0761,0.0102
"100683",-0.0353,-0.0478
"100689",0.10895,0.01905
"100689703",0.0513,-0.0473
"100702",1.449,-5e-04
"100705",0.1444,0.0199
"100710",0.0657,0.06065
"100715",-0.04495,0.0131
"100727",0.0374,0.11995
"100732",0.1113,-0.0109
"100737",-0.0949,-0.0596
"100740",-0.1331,-0.0708
"100756",0.1271,0.1271
"100763",0.02205,0.01585
"100764",-0.1893,-0.1655
"100855",0.0541,-0.03115
"100861869",0.0147,-0.0019
"100862268",0.0599,0.2034
"100900",-0.0307,-0.0448
"100910",-0.0193,-0.1194
"100929",-0.1064,-0.03015
"100952",0.01545,-0.03175
"100972",-0.04034587,0.01285
"100978",0.11935,0.0893
"100986",0.0814166666666667,0.130633333333333
"101023",-0.0556,-0.1311
"101055670",-0.0548,0.0404
"101055769",-0.0861,0.125
"101055782",-0.2177,-0.3411
"101056065",0.1131,0.1513
"101056236",-0.1661,-0.0184
"101095",-0.0364,0.11815
"101100",0.0469666666666667,-0.0101333333333333
"101113",0.0491,-0.1023
"101118",0.00013333333333333,0.0204333333333333
"101122",-0.0227,-0.0578
"101142",0.0494,-0.1648
"101148",0.01935,0.06195
"101185",-0.1477,-0.1148
"101187",-0.031,-0.0271
"101197",0.0362,0.0685
"101202",0.0605,0.1216
"101206",-0.055,-0.1079
"101214",-0.033,0.00174999999999999
"101240",-0.0758,0.0047
"101243624",0.0837,0.0271
"101314",-0.0088,-0.0498
"101351",0.000466666666666667,0.0464666666666667
"101358",-0.0426,-0.0117
"101359",-0.03765,-0.09195
"101401",0.05115,0.05415
"101434",-0.0522,0.0316
"101437",0.0211,-0.0202
"101471",0.0299,-0.0177
"101476",-0.06835,-0.03825
"101488",0.19655,0.11535
"101489",-0.0665666666666667,-0.0581666666666667
"101490",-0.0354666666666667,0.0120666666666667
"101497",0.0575,-0.076
"101502",-0.1425,-0.0585
"101513",0.0654,0.0996
"101533",-0.1142,-0.0124
"101540",0.0358,-0.158366666666667
"101543",-0.1109,-0.2133
"101544",0.2012,-0.1047
"101565",-0.0849,-0.0688
"101568",-0.0993,-0.1584
"101592",-0.0728,-0.0762
"101602",0.00465,0.01005
"101604",0.0019,-0.0461
"101612",-0.0731,-0.135466666666667
"101613",0.0597,-0.0382
"101631",-0.0518,-0.0342
"101685",-0.0655,-0.1115
"101694",-0.02,-0.0514
"101700",-0.0382,-0.0637
"101706",-0.06525,-0.12975
"101739",-0.08415,-0.03435
"101744",-0.0252,-0.046
"101772",-0.1342,0.0088
"101786",0.1226,-0.0524
"101809",-0.165,-0.2163
"101831",-0.1672,-0.0413
"101861",-0.0176,-0.0314
"101867",0.1083,0.1617
"101869",-0.0737666666666667,-0.0417333333333333
"101883",-0.0457,0.00725
"101943",0.0305,0.0062
"101966",-0.1198,-0.0047
"101985",0.0159,-0.0321
"101994",0.10405,0.1314
"102022",-0.007,0.2087
"102032",0.0716,0.1019
"102058",0.0439,0.03845
