"","GSE51365_MVH68_WT_vs_Control","GSE51365_MVH68_M_vs_Control"
"100504497",-2.2993,-2.029
"100504512",1.1477,1.0693
"100504538",0.5482,-0.0815
"100504549",-2.0848,0.0029
"100504561",1.1097,0.1946
"100504586",0.4847,0.7849
"100504594",0.4449,-0.0223
"100504626",-0.6339,-0.4993
"100504628",0.5508,-1.8105
"100504637",0.2196,0.2789
"100504663",0.7142,0.598
"100504687",0.2607,0.8098
"100504714",-0.2914,-0.0403
"100504715",1.24965,0.4086
"100504734",0.4061,0.4345
"100504740",0.5159,0.6933
"100515",-0.49315,0.0713
"100526796",-0.3274,0.0194
"100532",0.11215,-0.79515
"100532730",0.8162,0.2821
"100534641",-0.6442,-0.6647
"100559",-0.0938,-0.5226
"100561",0.2831,0.1236
"100604",0.364,-0.941
"100608",-0.64125,-0.499975
"100609",-0.79905,-0.88395
"100616095",-0.8487,-0.859
"100637",-0.4375,0.3393
"100647",-2.1241,-1.53795
"100653389",3.0845,2.3131
"100675",0.1061,-0.7426
"100678",0.9477,0.1265
"100683",-0.647,-0.8763
"100689",0.63075,0.00340000000000001
"100689703",0.5154,-0.4757
"100702",7.7824,-0.0027
"100705",0.8998,0.1241
"100710",0.29985,0.06255
"100715",-0.51745,-0.01515
"100727",0.0985,0.99885
"100732",1.6812,-0.1654
"100737",-3.23,-2.0281
"100740",-3.613,-1.922
"100756",1.1353,1.1355
"100763",0.5285,0.3743
"100764",-1.0608,-0.9273
"100855",-0.0482500000000001,-0.6083
"100861869",0.1587,-0.0206
"100862268",0.4319,1.4668
"100900",-0.4007,-0.5842
"100910",-0.1241,-0.7663
"100929",-0.99245,-0.2848
"100952",0.07955,0.0307499999999999
"100972",-0.2462,-0.0076
"100978",1.36905,1.1428
"100986",0.3336,0.681366666666667
"101023",-0.6928,-1.6325
"101055670",-0.6401,0.4719
"101055769",-0.4676,0.6787
"101055782",-1.9572,-3.0664
"101056065",1.44,1.9261
"101056236",-1.8314,-0.2028
"101095",-0.4608,1.8182
"101100",0.6935,0.151366666666667
"101113",0.3653,-0.7605
"101118",0.0625333333333333,0.132233333333333
"101122",-0.2381,-0.6073
"101142",0.4619,-1.5419
"101148",0.2863,0.78775
"101185",-1.9515,-1.516
"101187",-0.6647,-0.5814
"101197",0.4575,0.865
"101202",0.7859,1.5802
"101206",-0.529,-1.0373
"101214",-0.15525,0.1612
"101240",-0.4483,-0.0119666666666667
"101243624",2.4209,0.7839
"101314",-0.1829,-1.02705
"101351",-0.0116333333333333,0.322333333333333
"101358",-0.5428,-0.1493
"101359",-0.18495,-0.74805
"101401",0.32615,0.5343
"101434",-0.508,0.3079
"101437",0.2744,-0.2633
"101471",0.3439,-0.2039
"101476",-0.6686,-0.30845
"101488",3.37295,1.70775
"101489",-0.8423,-0.808266666666667
"101490",-0.420833333333333,0.0386666666666667
"101497",0.4391,-0.5803
"101502",-1.5164,-0.6228
"101513",0.5498,0.8375
"101533",-0.8037,-0.0874
"101540",0.253133333333333,-1.15363333333333
"101543",-1.0319,-1.9847
"101544",1.4112,-0.7342
"101565",-0.8915,-0.7229
"101568",-1.2524,-1.9967
"101592",-0.6675,-0.6993
"101602",0.02255,0.1034
"101604",0.0136,-0.3377
"101612",-0.722,-1.33416666666667
"101613",0.4571,-0.2926
"101631",-0.4227,-0.2606
"101685",-0.652933333333333,-0.8192
"101694",-0.1039,-0.2678
"101700",-0.29,-0.4833
"101706",-1.229,-1.9573
"101739",-1.168,-0.4684
"101744",-0.3106,-0.5677
"101772",-1.2132,0.05885
"101786",1.7526,-0.7499
"101809",-0.9566,-1.2541
"101831",-2.0458,-0.5055
"101861",-0.3102,-0.5534
"101867",0.7824,1.1687
"101869",-0.645966666666667,-0.3788
"101883",-0.55955,-0.0336
"101943",0.3395,0.0694
"101966",-1.1739,-0.0458
"101985",0.194,-0.3901
"101994",0.848,0.672
"102022",-0.0427,1.265
"102032",0.8051,1.1466
"102058",0.5372,0.5092
"102060",-0.2167,0.0827
"102075",-0.1262,0.5049
"102093",0.4338,0.6759
"102098",-0.472,-0.3855
"102103",-0.402066666666667,0.498633333333333
"102115",-0.5226,-0.19
"102122",-0.3253,0.5317
"102124",0.8992,0.7398
"102132",0.4119,-0.4704
"102141",-1.5938,0.0222
"102162",0.1422,0.6618
"102182",0.2142,-0.0461333333333334
"102193",0.30205,-0.7538
"102209",0.0645,-0.4804
"102216272",-0.2689,0.4751
"102247",-1.00715,-0.85785
"102278",-0.7298,-0.5649
"102294",-0.4124,-0.8064
"102323",-0.6392,-0.7691
"102334",-0.712933333333333,-0.3401
"102339",-1.7109,-1.5665
"102371",-0.1271,-1.2563
"102402",0.55255,0.42415
"102414",-1.1838,-0.7159
"102423",2.1163,0.9267
"102436",-0.124666666666667,-0.818766666666667
"102442",0.3481,1.2713
"102443350",0.1133,-0.0645
"102448",-0.5674,1.2132
"102466237",1.6359,1.0553
"102466256",0.6729,0.6852
"102502",-0.5552,-0.0516
"102545",1.4131,1.3759
"102566",0.7436,1.0864
"102570",-1.0836,0.2237
"102580",0.3392,-0.6238
"102595",-1.6033,-2.0675
"102607",0.0859,-0.434366666666667
"102614",-1.7964,0.1194
"102626",-0.37465,-0.6703
"102631612",0.791,2.3728
"102631730",-0.6797,0.1417
"102631739",0.9357,0.3525
"102631912",-0.2858,-0.4322
"102631981",-1.0718,-0.9056
"102632",-2.0051,-1.6685
"102632008",0.0144,-0.5453
"102632031",0.1631,0.3806
"102632302",-0.5601,0.2835
"102632394",0.14245,0.6471
"102632463",0.7873,0.3493
"102632493",0.8567,0.088
"102632708",0.2847,-1.6647
"102632821",-0.2407,0.2696
"102632893",-1.9261,-1.8709
"102632897",-0.5164,0.3099
"102632922",-1.4022,-2.1577
"102633000",-0.2679,0.7216
"102633199",-0.0664,0.2281
"102633266",-0.1976,0.0906
"102633312",-0.3916,0.4521
"102633321",0.107,-0.2944
"102633540",0.6392,1.2106
"102633575",1.5566,0.1844
"102633576",-1.024,-0.6189
"102633666",0.8865,1.0287
"102633677",-0.5881,0.3432
"102633805",0.7607,0.7767
"102633824",-0.6071,-0.1562
"102634000",-1.0521,-1.1228
"102634034",-0.8144,-1.9681
"102634076",-0.208,-0.7193
"102634096",-0.867,-0.8641
"102634243",-0.3409,-0.8269
"102634251",2.2082,2.0182
"102634284",0.8605,-0.4586
"102634333",-0.3869,-0.9944
"102634389",0.2925,1.3967
"102634450",0.8197,0.1574
"102634580",0.7107,-0.9718
"102634683",-0.1333,1.1377
"102634753",-0.3637,0.2193
"102634887",0.5014,1.2119
"102634933",1.2321,0.7878
"102634995",-0.4237,0.1713
"102635020",0.7773,-0.1473
"102635192",-0.182,-0.5741
"102635226",-1.7595,-1.1438
"102635243",-2.3594,-0.0792
"102635290",0.8463,0.9643
"102635316",1.0565,-2.026
"102635502",-1.0508,-0.2639
"102635561",-0.3341,-0.0122
"102635569",1.655,0.6215
"102635639",1.1535,0.0466
"102635685",4.5128,5.3243
"102635783",-0.1194,-0.5363
"102635948",-0.0919,0.0416
"102635958",1.0331,-0.8216
"102635985",1.3045,1.2675
"102636142",0.5511,-0.8097
"102636151",2.442,1.505
"102636203",-0.4582,-1.0089
"102636313",-1.012,-0.3763
"102636582",1.595,0.5931
"102636681",-0.3485,-1.202
"102636700",0.1284,-1.5651
"102636737",-0.6575,-0.9806
"102636803",0.757,1.6679
"102636808",1.0891,0.7439
"102636980",0.9222,0.3125
"102637001",-1.5072,0.8244
"102637100",-0.7109,0.0881
"102637176",1.4218,0.0931
"102637283",-1.6952,-0.6742
"102637354",1.4584,-0.3357
"102637419",-1.4114,-1.4307
"102637492",0.8955,0.9171
"102637542",-0.5609,0.324
"102637873",0.1089,0.3949
"102637966",0.8192,-0.0631
"102638038",0.5506,0.4582
"102638039",-0.1461,-0.34
"102638080",-1.1441,-0.6195
"102638259",-0.1162,-1.3525
"102638292",-0.2839,-0.683
"102638354",-0.1684,0.0211
"102638465",1.9389,1.6534
"102638632",-2.1084,-2.9587
"102638722",-0.6765,0.7075
"102638744",0.9546,0.5176
"102638854",-0.4799,-1.8729
"102638888",-0.2392,0.913
"102638940",-2.3123,-1.58655
"102638947",0.2548,0.5126
"102639375",3.4358,2.6162
"102639518",0.1625,0.1728
"102639568",-0.2989,-1.0809
"102639781",-0.6395,-0.3207
"102639888",0.145,0.9119
"102639979",-0.088,-0.0469
"102640117",-0.8747,2.2678
"102640178",-0.2537,-1.0403
"102640192",0.8307,0.0635
"102640298",1.5963,0.8394
"102640338",0.3031,-0.2452
"102640368",-1.8271,-2.0867
"102640379",-0.5011,0.7245
"102640387",-1.3643,-2.0341
"102640451",0.0876,-0.2277
"102640479",-0.9933,-0.5297
"102640589",0.9912,-0.9003
"102640749",2.2813,1.9161
"102640772",-1.4708,-1.1832
"102640779",1.49705,1.08675
"102640815",-1.7931,2.4316
"102640864",-0.1778,-0.9183
"102641621",1.2542,0.4183
"102641779",-0.9737,-0.2701
"102642321",-0.6018,0.7334
"102644",-0.0677,-1.3702
"102657",0.7054,0.6129
"102688",0.2092,1.1523
"102693",-0.63865,-1.3374
"102747",1.4739,-2.3531
