"","GSE30577_Rabies_vs_Control"
"102633867",1.3286
"102633872",1.4554
"102633880",-2.7398
"102634061",0.7222
"102634096",-2.2476
"102634128",-0.0508
"102634431",2.4632
"102634456",-0.2575
"102634580",2.1121
"102634683",0.6512
"102634783",-0.7137
"102634835",-2.332
"102634887",-3.0554
"102635020",-0.3102
"102635200",-2.4098
"102635202",-0.1827
"102635321",1.6632
"102635467",0.0707
"102635544",2.4543
"102635575",-0.7126
"102635786",-0.5536
"102635912",1.766
"102636154",-4.3851
"102636203",0.828
"102636313",0.2661
"102636330",-0.0892
"102636582",0.5682
"102636968",-1.4965
"102636989",0.9095
"102637001",0.5847
"102637039",-4.9305
"102637074",0.3213
"102637087",0.17935
"102637164",-0.8837
"102637176",-0.4115
"102637264",2.1445
"102637302",0.2367
"102637354",1.0432
"102637419",1.9371
"102637430",-0.5396
"102637436",2.6971
"102637492",-0.8307
"102637542",1.0259
"102637572",0.9835
"102637672",1.0741
"102637693",2.8464
"102637720",0.5229
"102637961",2.2998
"102638085",-2.1438
"102638165",-0.6346
"102638209",1.8093
"102638292",-2.4721
"102638313",0.9917
"102638354",0.9529
"102638465",-5.4667
"102638523",2.6012
"102638721",-2.0446
"102638722",0.3708
"102638797",-0.0841
"102638812",2.3441
"102638947",-1.3128
"102638957",2.0095
"102638980",-0.1692
"102639102",1.5949
"102639145",1.3557
"102639193",1.6902
"102639226",-0.7614
"102639399",-4.1364
"102639543",2.7283
"102639608",0.2265
"102639645",-1.1503
"102639780",0.2403
"102639787",-0.1107
"102639821",-1.3788
"102640237",-3.3754
"102640250",3.3361
"102640298",-0.1563
"102640335",0.9922
"102640368",0.1826
"102640423",1.8903
"102640451",-0.7724
"102640545",-2.0343
"102640597",-0.2332
"102640608",0.177
"102640779",-0.4692
"102640808",-1.1793
"102640811",-0.3367
"102640815",-0.1296
"102640845",0.2621
"102640864",0.2061
"102640932",-0.3838
"102640962",-0.1236
"102641621",-0.0965
"102644",1.5629
"102657",0.8348
"102688",2.4398
"102747",2.7789
"102774",-2.8056
"102791",0.6967
"102857",2.4867
"102871",0.5489
"102920",-0.5306
"102941",-0.6771
"103012",-2.0696
"103080",-1.08776666666667
"103098",-0.4032
"103135",0.4652
"103136",-1.4325
"103142",-1.4208
"103149",2.0656
"103161",3.8354
"103175",0.7857
"103213",1.3089
"103220",0.550066666666667
"103236",-1.3308
"103268",-1.7702
"103284",0.6438
"103425",0.57535
"103468",-0.0026
"103511",3.9772
"103537",-2.669
"103554",1.72563333333333
"103573",-1.5488
"103583",-1.8453
"103655",1.8204
"103677",-0.0885333333333334
"103694",-1.7076
"103710",1.0728
"103724",2.8312
"103737",-0.7275
"103768",2.1274
"103775",0.9064
"103784",-1.00315
"103806",-0.5241
"103841",-0.7587
"103844",-0.0195
"103889",0.3322
"103963",-0.3645
"103967",-1.52615
"103968",0.1129
"103988",-0.154766666666667
"104002",-0.269
"104009",1.19055
"104015",2.5307
"104027",0.814533333333333
"104079",0.9168
"104080",0.6115
"104082",-0.1485
"104099",-0.4472
"104103",-0.3863
"104110",2.9356
"104112",-0.8405
"104156",-0.94075
"104158",0.1099
"104174",0.3324
"104175",0.575
"104184",-0.66805
"104248",0.8286
"104263",-0.274
"104271",2.0297
"104303",-0.3661
"104318",1.23515
"104346",1.4035
"104348",1.7471
"104349",-1.3275
"104360",0.4003
"104369",-0.5955
"104382",0.18965
"104394",-0.4306
"104401",1.2018
"104416",0.0916
"104418",1.9155
"104443",-1.03025
"104444",2.5236
"104445",-0.07335
"104457",3.5257
"104458",1.2471
"104570",0.13465
"104582",-2.9387
"104625",0.45495
"104662",1.1115
"104681",2.01425
"104692",1.2207
"104709",-3.097
"104721",-5.8359
"104732",2.2043
"104759",4.9931
"104799",-0.25175
"104806",0.51135
"104816",3.33845
"104831",-1.1225
"104836",1.8097
"104871",0.2338
