"","GSE30577_Rabies_vs_Control"
"102635200",-2.1122
"102635202",-0.1556
"102635321",0.8545
"102635467",0.0374
"102635544",2.8315
"102635575",-0.3277
"102635786",-0.3926
"102635912",1.4418
"102636154",-2.6232
"102636203",0.6936
"102636313",0.2587
"102636330",-0.0557
"102636582",0.2555
"102636968",-1.1067
"102636989",0.4078
"102637001",0.4156
"102637039",-2.0467
"102637074",0.2129
"102637087",0.0686
"102637164",-0.537
"102637176",-0.3233
"102637264",1.0714
"102637302",0.2013
"102637354",0.7921
"102637419",1.4157
"102637430",-0.4481
"102637436",2.2362
"102637492",-0.62035
"102637542",1.2179
"102637572",0.4815
"102637672",1.1814
"102637693",1.4632
"102637720",0.5532
"102637961",3.9282
"102638085",-1.2144
"102638165",-0.5439
"102638209",1.7738
"102638292",-1.6874
"102638313",1.2843
"102638354",1.2911
"102638465",-3.3057
"102638523",1.3905
"102638721",-1.4762
"102638722",0.2156
"102638797",-0.0514
"102638812",1.0387
"102638947",-0.8587
"102638957",1.2619
"102638980",-0.0986
"102639102",1.2202
"102639145",0.9178
"102639193",1.6026
"102639226",-0.4378
"102639399",-1.8937
"102639543",3.66565
"102639608",0.1022
"102639645",-0.7458
"102639780",0.2521
"102639787",-0.1009
"102639821",-1.1279
"102640237",-1.7421
"102640250",1.8689
"102640298",-0.129
"102640335",0.9832
"102640368",0.1177
"102640423",1.1774
"102640451",-0.4268
"102640545",-1.3098
"102640597",-0.2727
"102640608",0.1024
"102640779",-0.4168
"102640808",-0.8997
"102640811",-0.2939
"102640815",-0.1135
"102640845",0.2735
"102640864",0.1246
"102640932",-0.267
"102640962",-0.074
"102641621",-0.0578
"102644",1.7856
"102657",0.9309
"102688",1.7699
"102747",1.084
"102774",-2.27805
"102791",0.9639
"102857",1.6565
"102871",0.4047
"102920",-0.4044
"102941",-0.3418
"103012",-1.2124
"103080",-0.593466666666667
"103098",-0.2797
"103135",0.3299
"103136",-1.4721
"103142",-1.2102
"103149",2.4158
"103161",5.52
"103175",0.4351
"103213",2.6243
"103220",0.6989
"103236",-0.8563
"103268",-1.6628
"103284",0.7064
"103425",0.52935
"103468",-0.0021
"103511",4.9393
"103537",-2.5044
"103554",1.1326
"103573",-0.5711
"103583",-0.8977
"103655",1.1709
"103677",0.159533333333333
"103694",-1.5746
"103710",0.841
"103724",3.7992
"103737",-0.69595
"103768",1.4472
"103775",0.6931
"103784",-0.6382
"103806",-0.3824
"103841",-0.554
"103844",-0.0183
"103889",0.3923
"103963",-0.5117
"103967",-0.81715
"103968",0.0639
"103988",-0.1424
"104002",-0.194
"104009",1.8161
"104015",3.6301
"104027",1.02393333333333
"104079",0.8768
"104080",0.4358
"104082",0.202666666666667
"104099",-0.2824
"104103",-0.3787
"104110",3.3708
"104112",-0.7274
"104156",-0.80745
"104158",0.1303
"104174",0.359
"104175",0.4002
"104184",-0.3081
"104248",0.6227
"104263",-0.36905
"104271",1.1979
"104303",-0.4623
"104318",1.350675
"104346",1.5115
"104348",2.2261
"104349",-0.9963
"104360",0.3464
"104369",-0.4979
"104382",0.22935
"104394",-0.3669
"104401",0.5194
"104416",0.0598
"104418",2.2915
"104443",-0.74875
"104444",1.8276
"104445",-0.06445
"104457",1.0833
"104458",2.1233
"104570",-0.63695
"104582",-2.0571
"104625",0.3742
"104662",1.16935
"104681",1.68965
"104692",0.9212
"104709",-2.3276
"104721",-4.1225
"104732",1.8369
"104759",8.3188
"104799",-0.27805
"104806",0.3854
"104816",4.97345
"104831",-1.1439
"104836",1.1644
"104871",0.15345
"104884",-0.9315
"104885",-2.0654
"104943",-0.50005
"105000",0.016
"105083",-0.2163
"105148",-1.419
"105171",1.0271
"105180375",-0.1823
"105203",1.8316
"105239",-1.102
"105242657",-0.7233
"105243",0.55495
"105243059",0.7787
"105243233",-2.04255
"105243269",-2.41
"105243282",-0.1313
"105243866",2.1259
"105244012",-0.0216
"105244144",-0.2779
"105244158",0.15015
"105244449",1.5292
"105244649",0.1836
"105244739",-0.3515
"105244793",1.0788
"105245",0.73895
"105245359",-0.0346
"105245369",0.6038
"105245555",-0.4799
"105245841",-0.5006
"105245909",-0.1234
"105246016",1.7903
"105246056",0.7583
"105246059",-0.9286
"105246434",1.8602
"105246531",2.5664
"105246587",-0.8182
"105246667",-0.0894
"105246961",-0.4747
"105247244",2.1066
"105278",1.01925
"105348",0.2859
"105349",0.2934
"105352",-0.7219
"105355",-1.4169
"105364",0.394
"105372",1.9398
"105377",-0.294666666666667
"105387",3.9568
"105418",-0.0890500000000001
"105428",-0.0539
"105446",0.1734
"105450",6.4276
"105501",0.0134
"105504",-0.44875
"105511",-0.2988
"105513",0.9335
