"","GSE30577_Rabies_vs_Control"
"100061",1.83120870940728
"100066",1.41362916006339
"100073351",0.868163136263041
"100087",0.961835529304861
"100088",1.31336471259449
"100090",1.11492171961854
"100093714",1.43466767371601
"100102",1
"100113398",1.52371987951807
"100121",0.775803297010338
"100125931",0.803248382411198
"100129",1.6548738710682
"100134986",2.05946291560102
"100137011",1.30878459687124
"100141474",1.11434584356366
"100163",0.869940476190476
"100169",1.09651372004651
"100174921",1.49895676283481
"100177",1.90894532143674
"100182",0.921345106308206
"100198",0.836888845443841
"100206",1.59622302158273
"100210",1.08552346257264
"100213",1.92741873899414
"100216455",1.13132530120482
"100217419",1.57546777546778
"100217468",1.23658269441402
"100226",0.586832740213523
"100233207",1.62839529955693
"100273",1.53128767854272
"100294583",0.746647709097705
"100302499",0.713124664159054
"100302730",2.24357641334795
"100303644",0.722337967347248
"100303738",1.20199146514936
"100303741",0.767903326496031
"100306874",1.44818607880576
"100310872",1.69068541300527
"100312477",2.15583606046439
"100312484",1.09057071960298
"100317",1.11108268031345
"100328574",1.3251572327044
"100336",1.43175942993301
"100340",0.723866981292724
"100342",0.701943577542255
"100379143",2.24446058844896
"100379610",1.02078749276201
"100379660",1.21829325789722
"100379665",0.9516797054763
"100380944",1.88508359032625
"100381257",1.13650329188003
"100415785",1.04699666295884
"100415913",1.43584688680795
"100415915",1.43828468938529
"100415971",1.25866722026157
"100416706",1.53219696969697
"100416830",1.18358124646959
"100417675",1.16692913385827
"100434",0.881142283451392
"100465",0.885455055654289
"100470",0.703507967751503
"100473",1.73472222222222
"100494",1.12686556021128
"100502590",1.95486755496243
"100502643",1.37002422983731
"100502670",1.64595691539182
"100502698",1.0759114807254
"100502700",1.14394642808459
"100502723",1.32513781697905
"100502841",1.41269702276708
"100502846",1.52658595641646
"100502861",0.868639053254438
"100502876",0.786617707058343
"100502936",1.37747336377473
"100502940",1.45356805293006
"100502942",1.23037417461482
"100502945",0.683807597862198
"100503019",1.04058059899826
"100503040",2.00957216580656
"100503041",2.11959798994975
"100503044",0.831114591490473
"100503068",0.785576552256074
"100503082",1.46472743930371
"100503185",1.09236873372967
"100503209",1.17037974683544
"100503311",1.31677736066994
"100503337",0.769134464909113
"100503359",1.68546712802768
"100503361",1.46335245379222
"100503386",1.36834087341889
"100503460",0.554861925684407
"100503495",1.5524775653531
"100503519",0.699853587115666
"100503582",1.33474377056888
"100503613",1.35147616691407
"100503661",1.2650406504065
"100503670",0.942019366365505
"100503676",0.846601153984854
"100503727",1.95277749568396
"100503759",0.852644996813257
"100503767",0.730349755547198
"100503812",1.31948422436766
"100503842",1.02682224579482
"100503849",1.8376829393102
"100503859",2.0580229226361
"100503884",1.10539984850124
"100503890",1.4906493848437
"100503895",1.85734072022161
"100503915",0.658052342275822
"100503969",2.05372662628391
"100503970",1.25124508519004
"100503991",0.772139625080802
"100504007",2.04845814977974
"100504029",1.332119766493
"100504061",1.38822763561616
"100504140",1.2060645582002
"100504145",1.61925795053004
"100504162",1.1909060514878
"100504166",1.38479809976247
"100504177",1.34979423868313
"100504178",1.34729764675459
"100504202",1.84272169548243
"100504221",1.84560237803812
"100504229",1.6823858034834
"100504231",1.31580773902481
"100504249",1.29862475442043
"100504265",1.23247496423462
"100504283",1.34736411932979
"100504323",1.5955275122947
"100504389",1.35464209089136
"100504404",1.7432648469418
"100504446",1.91378196252192
"100504454",1.00390526581003
"100504461",1.58657480795025
"100504464",1.00062383031815
"100504474",1.3304347826087
"100504486",0.934860952609766
"100504493",2.03386351975372
"100504538",1.2637264957265
"100504539",1.40881272949816
"100504561",2.62639296187683
"100504568",0.992472740063313
"100504601",2.05192359429648
"100504632",1.10532544378698
"100504641",0.777158774373259
"100504661",1.28526315789474
"100504663",1.00459876751281
"100504703",1.04601769911504
"100504720",1.25593128716439
"100504734",1.91601019637226
"100529079",1.37950827513632
"100529082",0.922263484131038
"100532",1.01945667458867
"100532729",1.46919616663407
"100534273",1.94366385655025
"100534287",1.23660684057196
"100534296",1.41043652784747
"100561",0.919642857142857
"100604",0.798259323955748
"100608",1.10979788652919
"100609",0.870909180807472
