"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"55","Human Diseases","Cancer: overview","mmu05203","Viral carcinogenesis - Mus musculus (house mouse)","2/35","228/9771",0.196282096260221,0.256951107831562,0.116454449455825,"14972/54123",2
"56","Human Diseases","Cancer: specific types","mmu05212","Pancreatic cancer - Mus musculus (house mouse)","1/35","76/9771",0.239498281744826,0.307926362243347,0.139557269437774,"20846",1
"57","Cellular Processes","Transport and catabolism","mmu04144","Endocytosis - Mus musculus (house mouse)","2/35","270/9771",0.251921440079594,0.318216555890014,0.144220953692842,"14972/16186",2
"58","Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades - Mus musculus (house mouse)","1/35","94/9771",0.287470300452358,0.344964360542829,0.156343496737247,"12258",1
"59","Organismal Systems","Immune system","mmu04666","Fc gamma R-mediated phagocytosis - Mus musculus (house mouse)","1/35","94/9771",0.287470300452358,0.344964360542829,0.156343496737247,"246256",1
"60","Human Diseases","Cardiovascular disease","mmu05416","Viral myocarditis - Mus musculus (house mouse)","1/35","94/9771",0.287470300452358,0.344964360542829,0.156343496737247,"14972",1
"61","Organismal Systems","Endocrine system","mmu04935","Growth hormone synthesis, secretion and action - Mus musculus (house mouse)","1/35","117/9771",0.34450622538765,0.406630298818209,0.184291509698311,"20846",1
"62","Organismal Systems","Endocrine system","mmu04919","Thyroid hormone signaling pathway - Mus musculus (house mouse)","1/35","120/9771",0.351610503329035,0.408321874833718,0.18505815964686,"20846",1
"63","Human Diseases","Infectious disease: bacterial","mmu05150","Staphylococcus aureus infection - Mus musculus (house mouse)","1/35","128/9771",0.370191533042546,0.42307603776291,0.191744987875003,"246256",1
"64","Cellular Processes","Cell growth and death","mmu04210","Apoptosis - Mus musculus (house mouse)","1/35","135/9771",0.386024782750943,0.434277880594811,0.196821846468409,"14939",1
"65","Human Diseases","Immune disease","mmu05322","Systemic lupus erythematosus - Mus musculus (house mouse)","1/35","150/9771",0.418661952014486,0.463748623769892,0.210178469837232,"246256",1
"66","Cellular Processes","Transport and catabolism","mmu04148","Efferocytosis - Mus musculus (house mouse)","1/35","161/9771",0.441518248909079,0.481656271537177,0.218294509030007,"12642",1
