"","GSE53784_WNV_vs_Control","GSE53784_JEV_vs_Control"
"100038418",0.0755864465682016,0.0758366204351699
"100038428",0.212199154877825,0.212167532864567
"100038429",0.0958948740225891,0.0958379288326464
"100038431",0.0529450694904037,0.052869046319543
"100038433",0.101970781449162,0.10191637630662
"100038436",0.0948166877370417,0.0944932573782627
"100038437",0.0630220577202021,0.0630411255411256
"100038439",0.0837692683267071,0.0838827838827839
"100038440",0.0676637664485511,0.0676212078253473
"100038447",0.0661525974025974,0.0663490983327663
"100038453",0.0839066030630178,0.0839223291061724
"100038454",0.0864064187625366,0.0864728722846049
"100038460",0.112637362637363,0.112709933327707
"100038464",0.117869472299852,0.117884241779993
"100038465",0.116439213722299,0.116408140031308
"100038467",0.118456531845653,0.118510486366401
"100038468",0.0998672859986729,0.0998288648031945
"100038474",0.0901040857542333,0.0901009130225853
"100038476",0.0816051049208492,0.0817430025445293
"100038479",0.105358217940999,0.105451392652
"100038485",0.119736032660366,0.11978021978022
"100038487",0.0831087151841869,0.0830544773122741
"100038489",0.100800177817293,0.100782962730974
"100038493",0.0928648909244305,0.0928259058725531
"100038494",0.0936654538669652,0.0937028155253575
"100038496",0.0908939200089003,0.0908874613371401
"100038497",0.111292771225038,0.111267091557402
"100038504",0.103491271820449,0.10359778597786
"100038506",0.0823442136498516,0.0822479873177707
"100038509",0.0881275127192514,0.0881852230166837
"100038512",0.0913368391918074,0.0913676440434694
"100038513",0.105736509479825,0.105761285961091
"100038516",0.122576177285319,0.122532270311314
"100038522",0.117661329451722,0.117535010053265
"100038525",0.124361948955916,0.124401913875598
"100038526",0.0888191368906852,0.0888269150893016
"100038528",0.0903540903540904,0.0905224787363305
"100038543",0.103989535644212,0.103928299008391
"100038545",0.106470106470106,0.106171548117155
"100038552",0.10205047318612,0.102149277061352
"100038554",0.129581827568405,0.12982605006364
"100038555",0.086484137331595,0.0863692470463763
"100038556",0.102787878787879,0.103122043519395
"100038557",0.0740582191780822,0.0739691764446243
"100038558",0.138121546961326,0.137931034482759
"100038560",0.102152641878669,0.102180794934928
"100038561",0.111932773109244,0.11186254798026
"100038564",0.127551731345363,0.127548513878654
"100038566",0.0667671982369148,0.0668454359629877
"100038569",0.102477341389728,0.102708803611738
"100038570",0.0566732090284593,0.0566820822957429
"100038571",0.0836743974533879,0.0837078347501218
"100038572",0.0856015054849222,0.0855900260945202
"100038574",0.0838899803536346,0.0838760921366164
"100038575",0.0657405819470645,0.0656934306569343
"100038577",0.10230785081393,0.102269062765677
"100038578",0.0622962694675842,0.0623172963964702
"100038582",0.0597345132743363,0.0597991479001826
"100038584",0.105000580113702,0.105124569576666
"100038589",0.0497261774370208,0.0497344088136927
"100038590",0.0893728877206159,0.0893916402262381
"100038591",0.0810562571756602,0.0810438614611306
"100038592",0.055045871559633,0.0551046243205004
"100038594",0.101814516129032,0.102224894768491
"100038595",0.0886638237384506,0.0886278195488722
"100038599",0.0714127300953648,0.071324963737308
"100038600",0.121151936444886,0.121264616717194
"100038601",0.124031007751938,0.12400354295837
"100038602",0.0816203475305597,0.0817170111287758
"100038607",0.0856584821428572,0.0855424644084438
