"","GSE53784_WNV_vs_Control","GSE53784_JEV_vs_Control"
"100038476",0.0066593931491428,0.00668191846499492
"100038479",0.0111003540877031,0.0111199962122462
"100038485",0.0143367175172442,0.0143473010505978
"100038487",0.0069070585395663,0.00689804620161506
"100038489",0.0101606758479978,0.0101572055768329
"100038493",0.00862388796640638,0.00861664880106009
"100038494",0.00877321724810459,0.00878021763737918
"100038496",0.00826170469458436,0.00826053062831014
"100038497",0.0123860809269486,0.0123803656636434
"100038504",0.010710443343014,0.0107325012595144
"100038506",0.00678056952161241,0.00676473141782416
"100038509",0.00776645849808182,0.00777663355850224
"100038512",0.00834241819355008,0.00834804637805412
"100038513",0.0111802094369771,0.0111854496081436
"100038516",0.0150249192378818,0.0150141572676448
"100038522",0.0138441884483468,0.013814478588221
"100038525",0.015465894348114,0.0154758361759117
"100038526",0.00788883907800628,0.007890220844282
"100038528",0.00816386164371512,0.00819431915656941
"100038543",0.0108138235234988,0.0108010913347774
"100038545",0.0113358835717558,0.0112723976295933
"100038552",0.010414299077511,0.0104344748041569
"100038554",0.0167914500359678,0.0168548032751268
"100038555",0.00747950600999018,0.00745964683535798
"100038556",0.0105653480257117,0.0106341558596159
"100038557",0.00548461982782886,0.00547143906389596
"100038558",0.0190775617349898,0.019024970273484
"100038560",0.0104351622427917,0.0104409148535338
"100038561",0.0125289456959254,0.0125132296406359
"100038564",0.0162694441691997,0.0162686233926532
"100038566",0.00445785876040748,0.00446831230908189
"100038569",0.0105016054983069,0.0105490983393546
"100038570",0.00321185262158344,0.00321285845338137
"100038571",0.00700140478918753,0.0070070015985537
"100038572",0.00732761774128516,0.00732565256686064
"100038574",0.0070375288037332,0.00703519883211016
"100038575",0.00432182411473871,0.00431562683147744
"100038577",0.0104668963381653,0.0104589611989699
"100038578",0.00388082518957786,0.00388344543016552
"100038582",0.00356821207612186,0.00357593808958791
"100038584",0.011025121824214,0.0110511751286793
"100038589",0.00247269272249808,0.00247351142004751
"100038590",0.00798751305952181,0.00799086534233719
"100038591",0.00657011682732676,0.00656810748053093
"100038592",0.00303004797575962,0.00303651962150349
"100038594",0.010366195694589,0.010449929110429
"100038595",0.00786127363992304,0.00785489039798745
"100038599",0.00509977801967342,0.00508725045212831
"100038600",0.0146777917043457,0.0147051072675679
"100038601",0.0153836908839613,0.0153768786662284
"100038602",0.00666188113100934,0.00667766990782047
"100038607",0.00733737556301818,0.00731751321706987
"100038608",0.00425676680547293,0.00425201523148417
"100038609",0.00615418691572309,0.00615669000718482
"100038610",0.0236004508086601,0.023633865475266
"100038614",0.0136867247655713,0.0136853858072053
"100038617",0.0061349761881688,0.00610162759914322
"100038618",0.00820489177581636,0.00820470150081788
"100038623",0.0102370081580061,0.0102344693001456
"100038626",0.00461340866925283,0.00462370139085097
"100038627",0.00586753585925621,0.00583969703720205
"100038628",0.00739619034190917,0.00740120371219397
