"","GSE53784_WNV_vs_Control","GSE53784_JEV_vs_Control"
"100306955",-2.3726,-5.4327
"100306959",-1.8081,-1.3122
"100310813",-1.0146,-1.7496
"100312484",-0.0701,1.3736
"100312987",0.4836,-1.214
"100313512",3.3409,2.0083
"100313944",-0.2081,-2.6802
"100313945",-0.8187,0.5366
"100315693",1.0858,0.283
"100316706",3.1975,-1.2162
"100316717",-3.692,-3.139
"100316736",-0.4198,-2.985
"100316932",-1.1711,-1.3047
"100317",-0.1449,-0.0019
"100322896",3.4618,1.1098
"100328574",3.7826,-0.7276
"100336",7.7473,8.3709
"100340",-3.0027,-0.3469
"100342",1.3225,-0.5871
"100379095",-7.1234,-6.086
"100379143",-0.1214,-1.3089
"100379145",-1.3663,-3.423
"100379259",-1.35,0.4599
"100379660",1.1852,0.2431
"100379665",-0.9664,0.0474
"100383",10.0229,7.2854
"100415785",-0.2347,-1.68
"100415913",1.8308,1.6295
"100416706",1.4573,-0.3859
"100417514",0.9795,2.6251
"100417675",-1.2361,-3.6845
"100434",-4.2797,-4.0013
"100465",6.3262,4.0576
"100470",-0.0561,0.4169
"100494",6.0484,6.3593
"100502590",4.4438,0.734
"100502698",-3.8224,-3.4211
"100502700",-1.8318,-2.1217
"100502723",1.2739,-0.9301
"100502739",-0.0274,-1.5145
"100502766",1.6624,-1.709
"100502829",1.6889,-3.674
"100502841",-0.2761,0.1045
"100502846",-14.4121,-14.5448
"100502861",-1.1321,-1.4817
"100502876",-0.6532,-2.9623
"100502936",1.3901,-0.3967
"100502942",-2.2327,-2.565
"100503003",-1.7588,1.3437
"100503019",-1.1067,-1.2102
"100503041",2.23895,1.05145
"100503043",-3.1632,-3.7354
"100503044",5.3554,2.9913
"100503048",1.2551,-2.7834
"100503085",-5.7243,-3.2289
"100503185",-2.4799,-0.2543
"100503240",2.1129,4.4753
"100503311",1.9134,-0.5181
"100503337",5.4033,3.2063
"100503338",-0.8792,0.8884
"100503355",1.2516,-0.3735
"100503359",-0.7048,2.1979
"100503386",-2.4432,-4.7528
"100503427",-0.1002,1.3813
"100503486",1.6161,-0.7677
"100503495",-1.0284,0.0674
"100503545",0.8558,-0.8238
"100503565",1.0421,-0.8465
"100503613",0.922,-0.8066
"100503659",-5.7644,-4.0904
"100503759",-0.6184,2.114
"100503794",1.8,1.9623
"100503799",0.60805,0.288
"100503802",-4.78935,-3.4396
"100503812",-0.1148,-0.2418
"100503842",0.0868,0.3481
"100503849",-6.5865,-3.2862
"100503879",0.3514,-0.2996
"100503884",-4.20965,-3.64
"100503895",1.3595,-0.1243
"100503915",0.9091,-2.5924
"100503946",-1.2677,-3.5274
"100503970",2.1171,2.9735
"100503991",0.964,0.7973
"100503992",0.1408,-0.5601
"100504061",3.7487,0.9702
"100504104",2.6748,-0.8124
"100504140",1.9776,-0.5318
"100504156",0.622,-1.1364
"100504162",-2.2248,-3.0001
"100504178",-0.4288,-0.166
"100504207",2.0011,-0.5748
"100504221",5.2288,1.4687
"100504229",-8.6161,-1.0099
"100504234",4.0443,1.2667
"100504285",2.0025,-2.0352
"100504309",0.7466,-0.1614
"100504360",-2.4694,-1.6608
"100504399",-1.6146,-1.2479
"100504404",1.4649,3.9745
"100504406",-0.04,2.4907
"100504412",-0.7741,-1.3298
"100504464",6.6184,2.1175
"100504486",6.4764,5.8176
"100504508",0.4057,-3.6416
"100504518",0.9495,-0.25485
"100504538",-1.4058,-0.4937
"100504594",8.4143,5.6925
"100504608",0.5491,0.1503
"100504650",0.4498,-1.7736
"100504663",0.5486,3.1207
"100504715",-5.1503,-1.3139
"100504733",-0.6991,1.4709
"100515",-1.9764,1.8577
"100526510",0.9843,-1.8501
"100526546",3.6389,-1.3843
"100529074",1.7208,-1.7177
"100529076",-1.8905,-1.812
"100529077",-2.1291,-2.3193
"100532",-2.4297,0.0207
"100532729",-1.1238,-1.1939
"100534273",6.4462,0.0052
"100534287",-7.0388,-3.0397
"100534296",1.6205,2.1902
"100535",2.1867,4.231
"100559",-0.9537,1.9321
"100561",10.9482,11.803
"100579147",1.3336,0.8826
"100604",5.709,5.4941
"100608",9.1657,9.4028
"100609",4.0388,4.2259
"100637",9.7014,5.8136
"100647",0.9845,3.7163
"100678",11.7664,9.3416
"100683",-6.16465,-2.9993
"100689",4.3023,0.712
"100689703",-2.6276,-2.0353
"100705",4.3051,0.5678
"100710",-9.4949,-7.5469
"100715",5.97605,5.35035
"100727",1.9284,-0.683
"100732",-9.2125,-6.7807
"100737",-3.527,-2.2107
"100756",6.7979,1.3774
"100763",-2.8766,1.0812
"100764",-5.4602,-4.1191
"100855",-0.7397,0.3562
"100856880",-0.4379,-1.4449
"100861571",-1.5667,-3.446
"100861572",2.7709,-4.8636
"100862203",-2.5984,-1.9212
"100862242",-0.0843,-3.5837
"100900",-0.2279,0.5075
"100929",-2.8335,-2.0441
"100952",1.7193,1.5097
"100972",-0.3225,1.1472
"100978",3.84555,3.62955
