"","GSE42264_Measles_vs_Control"
"102032",0.0330282530839634
"102058",0.0437879190275212
"102060",0.0405049687887012
"102075",0.0584432834499247
"102093",0.0363509506366649
"102098",0.0416875257377525
"102103",0.0490768141093417
"102115",0.0369465074739118
"102122",0.0273997625353914
"102124",0.0427315890493989
"102132",0.0708268330733229
"102141",0.025227473296613
"102162",0.0290212443095599
"102182",0.0486245233407605
"102193",0.0435239174105755
"102209",0.0350596975704456
"102216272",0.0435238594651285
"102247",0.0431108971048445
"102278",0.064203233256351
"102294",0.0549945150413224
"102323",0.0337220149253731
"102334",0.0440353694862361
"102339",0.0284297495007605
"102371",0.0761316872427984
"102402",0.0527657147362686
"102414",0.0362488306828812
"102423",0.0333392445469055
"102436",0.0543604428183827
"102442",0.0423979993516417
"102443350",0.0347133174574098
"102448",0.0597460220318237
"102466237",0.038209185642609
"102466256",0.0715137067938021
"102502",0.0397758488078233
"102545",0.0757331181059995
"102566",0.0308897106808788
"102570",0.0550609638087865
"102580",0.0417308680020544
"102595",0.065695991579686
"102607",0.0377026402255494
"102614",0.0743243243243243
"102626",0.0737653030759709
"102631612",0.0537070274748032
"102631730",0.057920446615492
"102631739",0.0653785071466384
"102631912",0.0347114857114358
"102631981",0.0478468899521531
"102632",0.0526698000981402
"102632008",0.05809372118367
"102632031",0.0702168461424989
"102632302",0.0523332358104154
"102632394",0.0522410162670224
"102632463",0.0837537840565086
"102632493",0.0525373762897452
"102632708",0.0702720207253886
"102632821",0.0633394785356861
"102632893",0.0646933932808792
"102632897",0.0687683763475988
"102632922",0.0727211796246649
"102633000",0.0738007380073801
"102633199",0.0527947302140851
"102633266",0.0599963416864825
"102633312",0.0444733420026008
"102633321",0.066420664206642
"102633540",0.0508701472556894
"102633575",0.0618256550779243
"102633576",0.0558402611699503
"102633666",0.0976577748861418
"102633677",0.0714082233406134
"102633805",0.0565831847337184
"102633824",0.0700273722627737
"102634000",0.0483020718401373
"102634034",0.0473252635689184
"102634076",0.0558514466676263
"102634096",0.0604853314016661
"102634243",0.0617283950617284
"102634251",0.057509135565806
"102634284",0.0567295597484277
"102634333",0.0639789881680946
"102634389",0.0440862763688078
"102634450",0.0453142305063977
"102634580",0.0581643543223052
"102634683",0.0471975108462246
"102634753",0.0587713346208048
"102634887",0.0650008371002846
"102634933",0.0907561510499594
"102634995",0.117600499895855
"102635020",0.0708315002199736
"102635192",0.051325808210259
"102635226",0.0533343391671696
"102635243",0.0451961011835693
"102635290",0.0575411382454669
"102635316",0.0499931075678905
